dataset,oa,aa,k,target_size,algorithm,time,selected_features,selected_weights
ghisaconus,0.587,0.49,0.49,13,mcuve,0.541,40|41|42|43|44|45|50|51|52|58|59|60|61,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.63,0.499,0.499,14,mcuve,0.538,50|51|52|53|54|55|56|57|58|59|60|61|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.614,0.499,0.499,15,mcuve,0.533,40|44|45|50|51|52|53|54|57|58|59|60|61|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.601,0.485,0.485,16,mcuve,0.549,44|45|50|51|52|53|54|55|56|57|58|59|60|61|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.595,0.481,0.481,17,mcuve,0.536,42|43|44|45|50|51|52|53|54|55|56|57|58|59|60|61|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.627,0.536,0.536,18,mcuve,0.537,34|35|36|39|40|41|42|43|44|45|50|51|52|58|59|60|61|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.584,0.501,0.501,19,mcuve,0.538,35|36|37|38|39|40|41|44|45|50|51|52|53|54|57|58|59|60|61,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.619,0.499,0.499,8,mcuve,0.536,44|50|51|52|58|59|60|61,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.607,0.434,0.434,5,mcuve,0.54,50|51|59|60|61,0.0|0.0|0.0|0.0|0.0
ghisaconus,0.604,0.443,0.443,6,mcuve,0.534,50|51|58|59|60|61,0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.592,0.434,0.434,7,mcuve,0.546,50|51|52|58|59|60|61,0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.637,0.512,0.512,9,mcuve,0.546,45|50|51|52|58|59|60|61|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.783,0.645,0.645,30,bsnet,33.612,2|13|15|20|29|31|32|34|35|38|39|49|52|56|63|67|70|82|83|91|92|94|95|99|101|103|116|117|120|126,0.4727769196033478|0.508541464805603|0.5379403829574585|0.442436546087265|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.5215453505516052|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273|0.4767024517059326|0.5371139049530029|0.42961931228637695
ghisaconus,0.769,0.64,0.64,20,bsnet,0.0,2|15|29|31|32|34|35|39|49|56|67|70|82|91|92|94|95|99|103|116,0.4727769196033478|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.5182114839553833|0.48426878452301025|0.40609365701675415|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4704035222530365|0.47244521975517273
ghisaconus,0.771,0.642,0.642,21,bsnet,0.0,2|15|29|31|32|34|35|39|49|52|56|67|70|82|91|92|94|95|99|103|116,0.4727769196033478|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4704035222530365|0.47244521975517273
ghisaconus,0.772,0.642,0.642,22,bsnet,0.0,2|15|29|31|32|34|35|39|49|52|56|67|70|82|83|91|92|94|95|99|103|116,0.4727769196033478|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4704035222530365|0.47244521975517273
